id,titolo,descrizione,categoria,priorita,testo,categoria_prevista,priorita_stimata
101,Segnalazione per ordine cliente,Si è verificato un problema durante l'utilizzo di contratto.,Tecnico,Bassa,Segnalazione per ordine cliente. Si è verificato un problema durante l'utilizzo di contratto.,Tecnico,Alta
102,Errore durante rete aziendale,È necessaria assistenza per pagamento.,Amministrativo,Bassa,Errore durante rete aziendale. È necessaria assistenza per pagamento.,Amministrativo,Alta
103,Aggiornamento su rete aziendale,Bisogna risolvere un malfunzionamento legato a fattura.,Commerciale,Alta,Aggiornamento su rete aziendale. Bisogna risolvere un malfunzionamento legato a fattura.,Commerciale,Bassa
104,Verifica di accesso al portale,Si è verificato un problema durante l'utilizzo di fattura.,Commerciale,Bassa,Verifica di accesso al portale. Si è verificato un problema durante l'utilizzo di fattura.,Commerciale,Alta
105,Aggiornamento su software gestionale,Il sistema segnala un errore relativo a rete aziendale.,Amministrativo,Bassa,Aggiornamento su software gestionale. Il sistema segnala un errore relativo a rete aziendale.,Commerciale,Alta
106,Aggiornamento su ordine cliente,È necessaria assistenza per ordine cliente.,Amministrativo,Bassa,Aggiornamento su ordine cliente. È necessaria assistenza per ordine cliente.,Amministrativo,Bassa
107,Aggiornamento su pagamento,Richiesta di informazioni aggiuntive su fattura.,Amministrativo,Alta,Aggiornamento su pagamento. Richiesta di informazioni aggiuntive su fattura.,Amministrativo,Media
108,Verifica di accesso al portale,Si è verificato un problema durante l'utilizzo di accesso al portale.,Commerciale,Bassa,Verifica di accesso al portale. Si è verificato un problema durante l'utilizzo di accesso al portale.,Commerciale,Alta
109,Errore durante software gestionale,È necessaria assistenza per software gestionale.,Tecnico,Media,Errore durante software gestionale. È necessaria assistenza per software gestionale.,Tecnico,Alta
110,Assistenza su pagamento,Si è verificato un problema durante l'utilizzo di ordine cliente.,Amministrativo,Alta,Assistenza su pagamento. Si è verificato un problema durante l'utilizzo di ordine cliente.,Tecnico,Alta
111,Domanda su accesso al portale,Il sistema segnala un errore relativo a accesso al portale.,Commerciale,Media,Domanda su accesso al portale. Il sistema segnala un errore relativo a accesso al portale.,Commerciale,Alta
112,Richiesta di rete aziendale,Il sistema segnala un errore relativo a rete aziendale.,Commerciale,Bassa,Richiesta di rete aziendale. Il sistema segnala un errore relativo a rete aziendale.,Amministrativo,Alta
113,Richiesta di stampante,Richiesta di informazioni aggiuntive su fattura.,Commerciale,Media,Richiesta di stampante. Richiesta di informazioni aggiuntive su fattura.,Commerciale,Media
114,Verifica di email aziendale,Si è verificato un problema durante l'utilizzo di ordine cliente.,Commerciale,Bassa,Verifica di email aziendale. Si è verificato un problema durante l'utilizzo di ordine cliente.,Tecnico,Alta
115,Verifica di fattura,Si è verificato un problema durante l'utilizzo di contratto.,Tecnico,Alta,Verifica di fattura. Si è verificato un problema durante l'utilizzo di contratto.,Tecnico,Alta
116,Domanda su rete aziendale,È necessaria assistenza per licenza scaduta.,Commerciale,Alta,Domanda su rete aziendale. È necessaria assistenza per licenza scaduta.,Commerciale,Bassa
117,Assistenza su software gestionale,Bisogna risolvere un malfunzionamento legato a software gestionale.,Amministrativo,Alta,Assistenza su software gestionale. Bisogna risolvere un malfunzionamento legato a software gestionale.,Amministrativo,Bassa
118,Richiesta di licenza scaduta,Bisogna risolvere un malfunzionamento legato a pagamento.,Amministrativo,Media,Richiesta di licenza scaduta. Bisogna risolvere un malfunzionamento legato a pagamento.,Amministrativo,Media
119,Assistenza su pagamento,Si è verificato un problema durante l'utilizzo di accesso al portale.,Amministrativo,Bassa,Assistenza su pagamento. Si è verificato un problema durante l'utilizzo di accesso al portale.,Amministrativo,Alta
120,Segnalazione per fattura,Bisogna risolvere un malfunzionamento legato a rete aziendale.,Amministrativo,Bassa,Segnalazione per fattura. Bisogna risolvere un malfunzionamento legato a rete aziendale.,Amministrativo,Bassa
121,Problema con email aziendale,Si è verificato un problema durante l'utilizzo di ordine cliente.,Amministrativo,Alta,Problema con email aziendale. Si è verificato un problema durante l'utilizzo di ordine cliente.,Amministrativo,Alta
122,Errore durante licenza scaduta,Richiesta di informazioni aggiuntive su email aziendale.,Commerciale,Bassa,Errore durante licenza scaduta. Richiesta di informazioni aggiuntive su email aziendale.,Commerciale,Alta
123,Segnalazione per stampante,Richiesta di informazioni aggiuntive su ordine cliente.,Tecnico,Media,Segnalazione per stampante. Richiesta di informazioni aggiuntive su ordine cliente.,Tecnico,Media
124,Aggiornamento su software gestionale,Richiesta di informazioni aggiuntive su licenza scaduta.,Commerciale,Media,Aggiornamento su software gestionale. Richiesta di informazioni aggiuntive su licenza scaduta.,Commerciale,Media
125,Richiesta di accesso al portale,Il sistema segnala un errore relativo a software gestionale.,Amministrativo,Media,Richiesta di accesso al portale. Il sistema segnala un errore relativo a software gestionale.,Amministrativo,Alta
126,Assistenza su ordine cliente,Richiesta di informazioni aggiuntive su ordine cliente.,Commerciale,Bassa,Assistenza su ordine cliente. Richiesta di informazioni aggiuntive su ordine cliente.,Commerciale,Media
127,Errore durante contratto,Si è verificato un problema durante l'utilizzo di pagamento.,Commerciale,Media,Errore durante contratto. Si è verificato un problema durante l'utilizzo di pagamento.,Commerciale,Alta
128,Domanda su stampante,Richiesta di informazioni aggiuntive su fattura.,Amministrativo,Bassa,Domanda su stampante. Richiesta di informazioni aggiuntive su fattura.,Amministrativo,Media
129,Problema con email aziendale,Si è verificato un problema durante l'utilizzo di fattura.,Amministrativo,Media,Problema con email aziendale. Si è verificato un problema durante l'utilizzo di fattura.,Amministrativo,Alta
130,Aggiornamento su licenza scaduta,Il sistema segnala un errore relativo a pagamento.,Commerciale,Alta,Aggiornamento su licenza scaduta. Il sistema segnala un errore relativo a pagamento.,Commerciale,Alta
131,Domanda su pagamento,Si è verificato un problema durante l'utilizzo di email aziendale.,Tecnico,Bassa,Domanda su pagamento. Si è verificato un problema durante l'utilizzo di email aziendale.,Tecnico,Alta
132,Assistenza su email aziendale,Bisogna risolvere un malfunzionamento legato a ordine cliente.,Amministrativo,Alta,Assistenza su email aziendale. Bisogna risolvere un malfunzionamento legato a ordine cliente.,Amministrativo,Bassa
133,Assistenza su software gestionale,È necessaria assistenza per software gestionale.,Amministrativo,Alta,Assistenza su software gestionale. È necessaria assistenza per software gestionale.,Amministrativo,Bassa
134,Domanda su email aziendale,Richiesta di informazioni aggiuntive su pagamento.,Tecnico,Bassa,Domanda su email aziendale. Richiesta di informazioni aggiuntive su pagamento.,Tecnico,Media
135,Domanda su licenza scaduta,Si è verificato un problema durante l'utilizzo di email aziendale.,Amministrativo,Bassa,Domanda su licenza scaduta. Si è verificato un problema durante l'utilizzo di email aziendale.,Amministrativo,Alta
136,Aggiornamento su contratto,Il sistema segnala un errore relativo a rete aziendale.,Commerciale,Bassa,Aggiornamento su contratto. Il sistema segnala un errore relativo a rete aziendale.,Commerciale,Alta
137,Errore durante accesso al portale,Si è verificato un problema durante l'utilizzo di email aziendale.,Amministrativo,Bassa,Errore durante accesso al portale. Si è verificato un problema durante l'utilizzo di email aziendale.,Amministrativo,Alta
138,Errore durante email aziendale,Bisogna risolvere un malfunzionamento legato a stampante.,Amministrativo,Alta,Errore durante email aziendale. Bisogna risolvere un malfunzionamento legato a stampante.,Amministrativo,Alta
139,Richiesta di contratto,Si è verificato un problema durante l'utilizzo di contratto.,Commerciale,Bassa,Richiesta di contratto. Si è verificato un problema durante l'utilizzo di contratto.,Commerciale,Alta
140,Errore durante pagamento,Richiesta di informazioni aggiuntive su software gestionale.,Tecnico,Bassa,Errore durante pagamento. Richiesta di informazioni aggiuntive su software gestionale.,Tecnico,Alta
141,Problema con licenza scaduta,È necessaria assistenza per pagamento.,Commerciale,Bassa,Problema con licenza scaduta. È necessaria assistenza per pagamento.,Commerciale,Alta
142,Aggiornamento su contratto,Il sistema segnala un errore relativo a ordine cliente.,Commerciale,Bassa,Aggiornamento su contratto. Il sistema segnala un errore relativo a ordine cliente.,Commerciale,Alta
143,Assistenza su licenza scaduta,Richiesta di informazioni aggiuntive su fattura.,Tecnico,Bassa,Assistenza su licenza scaduta. Richiesta di informazioni aggiuntive su fattura.,Tecnico,Media
144,Domanda su stampante,Il sistema segnala un errore relativo a pagamento.,Tecnico,Bassa,Domanda su stampante. Il sistema segnala un errore relativo a pagamento.,Tecnico,Alta
145,Assistenza su contratto,Si è verificato un problema durante l'utilizzo di contratto.,Commerciale,Media,Assistenza su contratto. Si è verificato un problema durante l'utilizzo di contratto.,Tecnico,Alta
146,Problema con ordine cliente,Si è verificato un problema durante l'utilizzo di stampante.,Amministrativo,Media,Problema con ordine cliente. Si è verificato un problema durante l'utilizzo di stampante.,Amministrativo,Alta
147,Segnalazione per email aziendale,Il sistema segnala un errore relativo a rete aziendale.,Amministrativo,Media,Segnalazione per email aziendale. Il sistema segnala un errore relativo a rete aziendale.,Amministrativo,Alta
148,Assistenza su ordine cliente,Si è verificato un problema durante l'utilizzo di licenza scaduta.,Tecnico,Bassa,Assistenza su ordine cliente. Si è verificato un problema durante l'utilizzo di licenza scaduta.,Tecnico,Alta
149,Domanda su accesso al portale,Richiesta di informazioni aggiuntive su accesso al portale.,Tecnico,Alta,Domanda su accesso al portale. Richiesta di informazioni aggiuntive su accesso al portale.,Commerciale,Media
150,Segnalazione per ordine cliente,Il sistema segnala un errore relativo a pagamento.,Tecnico,Bassa,Segnalazione per ordine cliente. Il sistema segnala un errore relativo a pagamento.,Tecnico,Alta
151,Domanda su fattura,Il sistema segnala un errore relativo a licenza scaduta.,Commerciale,Media,Domanda su fattura. Il sistema segnala un errore relativo a licenza scaduta.,Commerciale,Alta
152,Problema con accesso al portale,Il sistema segnala un errore relativo a licenza scaduta.,Commerciale,Media,Problema con accesso al portale. Il sistema segnala un errore relativo a licenza scaduta.,Commerciale,Alta
153,Richiesta di accesso al portale,Richiesta di informazioni aggiuntive su licenza scaduta.,Amministrativo,Media,Richiesta di accesso al portale. Richiesta di informazioni aggiuntive su licenza scaduta.,Tecnico,Media
154,Assistenza su software gestionale,Si è verificato un problema durante l'utilizzo di ordine cliente.,Tecnico,Media,Assistenza su software gestionale. Si è verificato un problema durante l'utilizzo di ordine cliente.,Tecnico,Alta
155,Problema con fattura,Richiesta di informazioni aggiuntive su email aziendale.,Commerciale,Media,Problema con fattura. Richiesta di informazioni aggiuntive su email aziendale.,Commerciale,Alta
156,Richiesta di software gestionale,Il sistema segnala un errore relativo a pagamento.,Amministrativo,Bassa,Richiesta di software gestionale. Il sistema segnala un errore relativo a pagamento.,Amministrativo,Alta
157,Assistenza su stampante,Il sistema segnala un errore relativo a stampante.,Commerciale,Bassa,Assistenza su stampante. Il sistema segnala un errore relativo a stampante.,Commerciale,Alta
158,Verifica di stampante,Richiesta di informazioni aggiuntive su accesso al portale.,Amministrativo,Media,Verifica di stampante. Richiesta di informazioni aggiuntive su accesso al portale.,Tecnico,Media
159,Richiesta di stampante,Richiesta di informazioni aggiuntive su licenza scaduta.,Commerciale,Alta,Richiesta di stampante. Richiesta di informazioni aggiuntive su licenza scaduta.,Commerciale,Media
160,Aggiornamento su licenza scaduta,È necessaria assistenza per ordine cliente.,Tecnico,Media,Aggiornamento su licenza scaduta. È necessaria assistenza per ordine cliente.,Tecnico,Bassa
161,Aggiornamento su accesso al portale,Il sistema segnala un errore relativo a rete aziendale.,Commerciale,Alta,Aggiornamento su accesso al portale. Il sistema segnala un errore relativo a rete aziendale.,Commerciale,Alta
162,Domanda su rete aziendale,Richiesta di informazioni aggiuntive su contratto.,Amministrativo,Bassa,Domanda su rete aziendale. Richiesta di informazioni aggiuntive su contratto.,Amministrativo,Media
163,Richiesta di contratto,Bisogna risolvere un malfunzionamento legato a rete aziendale.,Commerciale,Bassa,Richiesta di contratto. Bisogna risolvere un malfunzionamento legato a rete aziendale.,Commerciale,Media
164,Verifica di rete aziendale,È necessaria assistenza per rete aziendale.,Tecnico,Bassa,Verifica di rete aziendale. È necessaria assistenza per rete aziendale.,Tecnico,Bassa
165,Verifica di email aziendale,È necessaria assistenza per software gestionale.,Commerciale,Bassa,Verifica di email aziendale. È necessaria assistenza per software gestionale.,Amministrativo,Bassa
166,Errore durante fattura,Bisogna risolvere un malfunzionamento legato a stampante.,Amministrativo,Media,Errore durante fattura. Bisogna risolvere un malfunzionamento legato a stampante.,Amministrativo,Alta
167,Assistenza su fattura,È necessaria assistenza per rete aziendale.,Commerciale,Alta,Assistenza su fattura. È necessaria assistenza per rete aziendale.,Commerciale,Bassa
168,Aggiornamento su accesso al portale,Bisogna risolvere un malfunzionamento legato a accesso al portale.,Commerciale,Media,Aggiornamento su accesso al portale. Bisogna risolvere un malfunzionamento legato a accesso al portale.,Commerciale,Bassa
169,Errore durante pagamento,Si è verificato un problema durante l'utilizzo di accesso al portale.,Amministrativo,Bassa,Errore durante pagamento. Si è verificato un problema durante l'utilizzo di accesso al portale.,Amministrativo,Alta
170,Aggiornamento su accesso al portale,È necessaria assistenza per software gestionale.,Tecnico,Media,Aggiornamento su accesso al portale. È necessaria assistenza per software gestionale.,Tecnico,Bassa
171,Verifica di pagamento,Il sistema segnala un errore relativo a stampante.,Commerciale,Alta,Verifica di pagamento. Il sistema segnala un errore relativo a stampante.,Commerciale,Alta
172,Errore durante licenza scaduta,È necessaria assistenza per accesso al portale.,Commerciale,Bassa,Errore durante licenza scaduta. È necessaria assistenza per accesso al portale.,Commerciale,Alta
173,Segnalazione per stampante,Si è verificato un problema durante l'utilizzo di stampante.,Tecnico,Bassa,Segnalazione per stampante. Si è verificato un problema durante l'utilizzo di stampante.,Tecnico,Alta
174,Problema con email aziendale,Bisogna risolvere un malfunzionamento legato a rete aziendale.,Commerciale,Media,Problema con email aziendale. Bisogna risolvere un malfunzionamento legato a rete aziendale.,Commerciale,Alta
175,Problema con software gestionale,Richiesta di informazioni aggiuntive su licenza scaduta.,Tecnico,Bassa,Problema con software gestionale. Richiesta di informazioni aggiuntive su licenza scaduta.,Tecnico,Alta
176,Verifica di stampante,Si è verificato un problema durante l'utilizzo di fattura.,Commerciale,Bassa,Verifica di stampante. Si è verificato un problema durante l'utilizzo di fattura.,Tecnico,Alta
177,Aggiornamento su pagamento,Si è verificato un problema durante l'utilizzo di email aziendale.,Tecnico,Bassa,Aggiornamento su pagamento. Si è verificato un problema durante l'utilizzo di email aziendale.,Tecnico,Alta
178,Problema con ordine cliente,Richiesta di informazioni aggiuntive su email aziendale.,Commerciale,Bassa,Problema con ordine cliente. Richiesta di informazioni aggiuntive su email aziendale.,Commerciale,Alta
179,Problema con contratto,È necessaria assistenza per email aziendale.,Commerciale,Media,Problema con contratto. È necessaria assistenza per email aziendale.,Commerciale,Alta
180,Aggiornamento su stampante,Bisogna risolvere un malfunzionamento legato a accesso al portale.,Commerciale,Alta,Aggiornamento su stampante. Bisogna risolvere un malfunzionamento legato a accesso al portale.,Commerciale,Bassa
181,Errore durante software gestionale,È necessaria assistenza per email aziendale.,Tecnico,Alta,Errore durante software gestionale. È necessaria assistenza per email aziendale.,Amministrativo,Alta
182,Domanda su stampante,Bisogna risolvere un malfunzionamento legato a ordine cliente.,Amministrativo,Alta,Domanda su stampante. Bisogna risolvere un malfunzionamento legato a ordine cliente.,Amministrativo,Bassa
183,Problema con fattura,Il sistema segnala un errore relativo a stampante.,Commerciale,Media,Problema con fattura. Il sistema segnala un errore relativo a stampante.,Tecnico,Alta
184,Problema con licenza scaduta,È necessaria assistenza per software gestionale.,Commerciale,Alta,Problema con licenza scaduta. È necessaria assistenza per software gestionale.,Commerciale,Alta
185,Verifica di stampante,È necessaria assistenza per stampante.,Amministrativo,Alta,Verifica di stampante. È necessaria assistenza per stampante.,Amministrativo,Bassa
186,Assistenza su email aziendale,Il sistema segnala un errore relativo a email aziendale.,Tecnico,Alta,Assistenza su email aziendale. Il sistema segnala un errore relativo a email aziendale.,Tecnico,Alta
187,Problema con fattura,Richiesta di informazioni aggiuntive su fattura.,Amministrativo,Bassa,Problema con fattura. Richiesta di informazioni aggiuntive su fattura.,Amministrativo,Alta
188,Errore durante pagamento,Si è verificato un problema durante l'utilizzo di contratto.,Commerciale,Bassa,Errore durante pagamento. Si è verificato un problema durante l'utilizzo di contratto.,Commerciale,Alta
189,Assistenza su contratto,Il sistema segnala un errore relativo a software gestionale.,Tecnico,Media,Assistenza su contratto. Il sistema segnala un errore relativo a software gestionale.,Tecnico,Alta
190,Verifica di ordine cliente,Richiesta di informazioni aggiuntive su stampante.,Amministrativo,Alta,Verifica di ordine cliente. Richiesta di informazioni aggiuntive su stampante.,Amministrativo,Media
191,Verifica di email aziendale,Bisogna risolvere un malfunzionamento legato a software gestionale.,Tecnico,Media,Verifica di email aziendale. Bisogna risolvere un malfunzionamento legato a software gestionale.,Tecnico,Bassa
192,Domanda su ordine cliente,Il sistema segnala un errore relativo a licenza scaduta.,Amministrativo,Bassa,Domanda su ordine cliente. Il sistema segnala un errore relativo a licenza scaduta.,Amministrativo,Alta
193,Assistenza su stampante,Il sistema segnala un errore relativo a licenza scaduta.,Amministrativo,Bassa,Assistenza su stampante. Il sistema segnala un errore relativo a licenza scaduta.,Commerciale,Alta
194,Errore durante ordine cliente,È necessaria assistenza per software gestionale.,Tecnico,Bassa,Errore durante ordine cliente. È necessaria assistenza per software gestionale.,Tecnico,Alta
195,Problema con pagamento,È necessaria assistenza per email aziendale.,Amministrativo,Media,Problema con pagamento. È necessaria assistenza per email aziendale.,Amministrativo,Alta
196,Problema con ordine cliente,Bisogna risolvere un malfunzionamento legato a software gestionale.,Tecnico,Bassa,Problema con ordine cliente. Bisogna risolvere un malfunzionamento legato a software gestionale.,Tecnico,Alta
197,Segnalazione per rete aziendale,Il sistema segnala un errore relativo a software gestionale.,Commerciale,Media,Segnalazione per rete aziendale. Il sistema segnala un errore relativo a software gestionale.,Tecnico,Alta
198,Richiesta di accesso al portale,Richiesta di informazioni aggiuntive su accesso al portale.,Tecnico,Bassa,Richiesta di accesso al portale. Richiesta di informazioni aggiuntive su accesso al portale.,Tecnico,Media
199,Domanda su ordine cliente,Il sistema segnala un errore relativo a accesso al portale.,Commerciale,Bassa,Domanda su ordine cliente. Il sistema segnala un errore relativo a accesso al portale.,Commerciale,Alta
